word	value
indiancavalry	3	100.0
dirjohn	0	50.0
travel	0	51.0204081633
copious	0	52.9411764706
baazigar	6	100.0
sometimesbr	-3	100.0
selfesteem	0	65.2173913043
dixxon	3	100.0
barbra	2	81.0810810811
uselessness	-1	66.6666666667
goober	-1	66.6666666667
poetries	3	100.0
assimilated	0	50.0
stoller	-3	100.0
hulkster	-6	100.0
festus	-3	100.0
dinosaurs	0	50.0
wrong	-1	63.5578583765
seda	-3	100.0
sentencing	0	66.6666666667
toyboxcan	-3	100.0
assimilates	3	100.0
colorfully	0	66.6666666667
perezwho	3	100.0
glenne	3	100.0
shreya	-3	100.0
lleyweln	-3	100.0
noriko	3	100.0
subplots	0	51.7482517483
appropriation	-3	100.0
menlo	-3	100.0
chaptersa	-3	100.0
bmysteries	-3	100.0
gothos	6	100.0
englishs	-6	100.0
snugly	3	100.0
discussionquestion	3	100.0
welcomed	0	53.5714285714
arethas	3	100.0
stoicism	0	50.0
cianfriglia	0	50.0
malbu	-3	100.0
duece	-3	100.0
aargh	-3	100.0
grzegorz	-3	100.0
welcomes	0	66.6666666667
fir	-3	100.0
wickedly	3	92.3076923077
dervishlike	3	100.0
fit	0	52.1739130435
benign	1	70.0
lifeline	-1	66.6666666667
bringing	0	61.3821138211
fix	0	59.0
discourse	0	54.5454545455
fib	0	50.0
fic	-3	100.0
rappenau	3	100.0
fig	-6	100.0
fmvs	3	100.0
nondirection	-3	100.0
fuddruckers	3	100.0
fin	-6	100.0
bankrupts	-3	100.0
wellhidden	-3	100.0
fim	3	100.0
zucker	-1	63.6363636364
mirandas	-6	100.0
songwriter	0	58.3333333333
tresspassing	3	100.0
thomashowever	3	100.0
effects	-1	64.6442601484
durocher	-3	100.0
thugtype	3	100.0
ingris	3	100.0
craporama	0	50.0
whacking	-3	100.0
acrown	3	100.0
mightierthanthou	-3	100.0
barton	0	52.6315789474
sugarplums	-3	100.0
neonazis	0	50.0
ingrid	2	84.9056603774
boyzone	-3	100.0
japaneseamerican	3	100.0
kincaids	-3	100.0
murderervillain	3	100.0
tantalisingly	-3	100.0
romulans	3	95.2380952381
parasites	-1	60.0
childen	0	50.0
kowa	-3	100.0
toleration	3	100.0
bassladen	3	100.0
indiscretion	3	100.0
deltoros	-3	100.0
adapt	0	63.2653061224
dinginess	3	100.0
zellwegger	1	77.7777777778
size	-1	66.4285714286
blokish	-3	100.0
devoloper	-3	100.0
abbott	0	57.7464788732
crimedonning	-3	100.0
cinematographyif	-3	100.0
underfoot	3	100.0
moodmaking	-3	100.0
natzis	-3	100.0
magickal	3	100.0
pumpkins	-3	100.0
estimate	-2	84.6153846154
ugghhh	-3	100.0
gameplay	0	61.1111111111
overeager	0	66.6666666667
chlorine	0	50.0
silent	1	70.4057279236
fabulious	3	100.0
chiari	3	100.0
preproductions	3	100.0
criminologists	-3	100.0
sickeningly	-1	64.2857142857
babyselling	3	100.0
chiara	0	66.6666666667
disturbed	0	53.6363636364
momment	3	100.0
ineffectively	-2	80.0
mendacity	3	100.0
selfs	0	66.6666666667
moschin	3	100.0
breed	0	53.1914893617
krantzs	-3	100.0
kaylees	3	100.0
wellwarranted	3	100.0
lookingacting	3	100.0
stylistics	3	100.0
megabytes	-3	100.0
hickmanworking	3	100.0
doohans	-3	100.0
thrace	3	100.0
olds	-2	88.1578947368
renovated	0	50.0
forrester	-3	100.0
masten	6	100.0
highestrated	3	100.0
trentini	3	100.0
13br	-3	100.0
needed	0	56.641221374
master	0	60.510805501
predecessors	0	51.3513513514
bullfroglike	-3	100.0
genesis	0	55.5555555556
85min	-3	100.0
pallaske	-3	100.0
berlioz	3	100.0
mutilates	-1	66.6666666667
repeatedlyits	3	100.0
shirleys	-6	100.0
splendiferous	3	100.0
offthetop	3	100.0
violence	3	100.0
swish	-3	100.0
mutilated	-1	76.0
summercamp	3	100.0
121444	3	100.0
positively	0	50.0
lauriemichael	-3	100.0
mendoza	3	100.0
ahmed	3	100.0
zatoichi	0	50.0
comehither	3	100.0
bannister	-6	100.0
ahmet	3	100.0
exclaimed	-6	100.0
hogan|wwf	3	100.0
feeling	0	53.897338403
ogami	-3	100.0
gorman	6	100.0
00schneider	3	100.0
codeine	3	100.0
wouah	3	100.0
craven	0	58.5365853659
consenting	-1	66.6666666667
bogan	-3	100.0
pandemics	-3	100.0
magnavolt	-3	100.0
affairs	0	61.8556701031
believableand	3	100.0
wholesome	0	65.8536585366
courier	0	57.1428571429
hymen	-3	100.0
tewkesbury	3	100.0
paramedics	0	50.0
postcarbon	3	100.0
affaire	-3	100.0
hymer	3	100.0
channelhopped	3	100.0
kremlin	-3	100.0
vgs	3	100.0
shipments	0	50.0
45th	-2	80.0
memebers	3	100.0
rightsideup	-3	100.0
diminishing	-1	66.6666666667
cinematic	0	53.8636363636
resonates	2	85.7142857143
simplify	0	50.0
massfor	-3	100.0
reverence	0	50.0
andara	6	100.0
resonated	2	81.8181818182
dailey	0	66.6666666667
headongegen	3	100.0
toscanini	3	100.0
kiya	-3	100.0
thaao	-3	100.0
purges	3	100.0
tech	0	51.1111111111
fugitives	0	66.6666666667
teck	-3	100.0
denamark	3	100.0
perfornmances	3	100.0
doesn’t	-1	66.6666666667
purged	-3	100.0
saying	-1	62.1378621379
micheners	-3	100.0
franklyn	-3	100.0
dickey	0	57.1428571429
baconmrs	3	100.0
dicker	-3	100.0
forgettaboutit	-3	100.0
padded	-2	87.0967741935
workall	-3	100.0
tempted	-1	63.9344262295
hounded	-1	75.0
clicked	1	71.4285714286
ajaye	-3	100.0
scosese	3	100.0
ghiblis	3	100.0
rapidediting	3	100.0
pawel	-3	100.0
wordwith	3	100.0
lube	-3	100.0
technodj	-3	100.0
glassofmilk	-3	100.0
vespasianii	-3	100.0
porizcova	3	100.0
plate	0	50.0
plato	0	50.0
firenze	-3	100.0
platt	2	87.5
mcnab	-3	100.0
clumsiness	-1	66.6666666667
caribe	-3	92.0
altogether	0	54.7445255474
rugged	1	75.0
uncleanliness	-3	100.0
skaal	3	100.0
droning	-2	83.3333333333
addictturned	-3	100.0
jaguar	0	66.6666666667
nicely	1	72.5694444444
pseudoclassical	-3	100.0
maybelet	3	100.0
patch	0	55.0
sideparting	-3	100.0
sedatetooutrageous	3	100.0
lostintranslation	-3	100.0
circling	0	55.5555555556
gygax	3	100.0
endsand	3	100.0
wrangle	3	100.0
pinon	-6	100.0
slashfest	0	50.0
dirtmirrors	-3	100.0
coopts	3	100.0
edgiest	3	100.0
mcmillanchick	-3	100.0
naverone	-3	100.0
lots	0	50.7784431138
lotr	-2	85.7142857143
irs	-2	80.0
snakecharmer	3	100.0
lott	-3	100.0
xvi	6	100.0
loti	3	100.0
irk	0	57.1428571429
irm	3	100.0
ordwell	-3	100.0
conductive	-3	100.0
ira	-1	77.4193548387
belzer	-3	100.0
irc	-3	100.0
lotg	-3	100.0
epically	-3	100.0
requisites	3	100.0
discipline	0	51.8518518519
extend	0	52.0
nature	0	64.406779661
partysorority	-3	100.0
ask	0	58.71886121
bookbattle	-3	100.0
lapping	-1	66.6666666667
superficial	-1	65.625
backtoback	0	55.5555555556
strikesthat	-3	100.0
extent	0	50.6493506494
tendons	-3	100.0
rayfurther	-3	100.0
hightension	-3	100.0
‘possessed’	-3	100.0
moocow	-6	100.0
importantce	3	100.0
levitating	-1	66.6666666667
khandar	3	100.0
82minute	-1	66.6666666667
strogenoff	3	100.0
fearlessly	-1	66.6666666667
sh17	-3	100.0
zigged	3	100.0
foreclosing	-3	100.0
fondles	3	100.0
decends	-3	100.0
tchéky	-3	100.0
meaningfulness	0	66.6666666667
wearying	-1	75.0
minuses	0	57.1428571429
ralfe	-3	100.0
escalade	-3	100.0
surname	-1	60.0
humming	0	58.8235294118
smackdown	1	77.7777777778
quasinationalist	-3	100.0
languageand	-3	100.0
underdone	-1	75.0
frf	3	100.0
triviality	0	50.0
mucs	3	100.0
guybrush	6	100.0
fro	-1	75.0
bothers	-1	63.2653061224
murdersuicide	0	50.0
much	0	52.7801268499
chink	3	100.0
tonino	3	100.0
dehumanised	3	100.0
deliberately	0	53.5714285714
fry	2	87.0967741935
toning	-3	100.0
obese	-1	60.8695652174
sensationalized	-1	75.0
pseudodramatic	-3	100.0
spiv	3	100.0
spit	-1	65.8536585366
arkin	2	85.0
homies	-6	100.0
charleton	-1	75.0
almasy	1	74.0740740741
jeon	6	100.0
spic	3	100.0
doubts	0	64.1791044776
parodyimitate	-3	100.0
spin	0	54.2857142857
skilfully	1	75.0
floppybr	-3	100.0
kennan	-3	100.0
marsillachis	3	100.0
misconstrues	-3	100.0
professionally	0	55.5555555556
spaghettisplatter	-3	100.0
misconstrued	0	66.6666666667
prelord	-3	100.0
toalmost	-3	100.0
prostrate	-3	100.0
whatsherface	0	50.0
biddies	3	100.0
fortyyear	3	100.0
respectibility	-3	100.0
majin	2	81.8181818182
alicekristine	3	100.0
pacificsubject	3	100.0
kohl	-3	100.0
conditioned	0	62.5
finnell	3	100.0
boldface	3	100.0
hyperdrive	-3	100.0
peynado	-3	100.0
5050	6	100.0
hone	0	66.6666666667
ultraheroic	3	100.0
memorial	0	56.25
folksthis	-3	100.0
spf1000	3	100.0
femalelover	-3	100.0
preachie	3	100.0
mummified	-3	100.0
democracies	3	100.0
spews	-2	83.3333333333
effortly	3	100.0
visitations	-3	100.0
cavanaugh	0	50.0
zeon	3	100.0
noticethis	-3	100.0
ascendedto	-3	100.0
finally	3	100.0
chauvinistic	-1	66.6666666667
frenchmen	-2	80.0
torpedoes	6	100.0
bullockshes	-3	100.0
pacingwhich	3	100.0
chritina	3	100.0
nowmorefamous	-3	100.0
zeoy	-3	100.0
sissako	-3	100.0
torpedoed	0	50.0
zoomin	0	50.0
cinefest	3	100.0
furlough	-2	80.0
improbabilitiesimpossibilities	-3	100.0
tomkins	-3	100.0
sixarrows	-3	100.0
groupingbr	3	100.0
academic	0	55.8823529412
stillness	2	80.0
academia	-3	100.0
scenedespite	-3	100.0
cineastes	-1	66.6666666667
corporate	0	59.2105263158
cipherlike	3	100.0
coedcarla	-3	100.0
bellow	0	50.0
sundrenched	3	100.0
absurdities	-1	68.75
appropriately	0	57.3333333333
«too	-3	100.0
displaycase	-3	100.0
lekota	3	100.0
missão	0	50.0
walensa	3	100.0
bellon	3	100.0
tavernier	-3	100.0
hah	-1	75.0
hai	1	75.0
upsides	0	50.0
seisun	3	100.0
hal	1	70.1388888889
ham	0	57.9710144928
han	1	75.0
hao	3	100.0
salutes	-1	66.6666666667
had	0	54.4161398289
advancement	0	61.5384615385
hag	0	52.9411764706
hay	1	72.2222222222
mcnamara	-1	60.0
evzen	0	50.0
duffel	0	66.6666666667
har	-6	100.0
has	0	54.1409528511
hat	0	58.4905660377
hau	3	100.0
hav	-3	100.0
haw	0	57.1428571429
heyes	3	100.0
municipal	0	50.0
cornystupid	-3	100.0
tanuja	6	100.0
elders	0	58.3333333333
michalkovmovie	-3	100.0
referral	3	100.0
gittais	-3	100.0
unequivocally	0	60.0
objective	0	51.8987341772
gobetween	1	75.0
indicative	0	50.0
yawnfest	-3	100.0
myton	-3	100.0
overtheshouldercomehither	-3	100.0
tennants	2	85.7142857143
sleuthing	3	100.0
semi	-1	62.5
blackorwhite	-3	100.0
riddickulous	3	100.0
debell	2	89.4736842105
fusionfunk	3	100.0
misdemeanors	3	100.0
hypernellie	-3	100.0
unabashedly	2	83.3333333333
flub	0	50.0
tookey	-3	100.0
crowd	0	56.9852941176
crowe	0	54.1666666667
czech	2	85.2941176471
crown	0	59.4594594595
wyngarde	3	100.0
composited	-3	100.0
captive	0	53.3333333333
vangelo	-3	100.0
selfconscience	3	100.0
passionplay	-3	100.0
perchance	3	100.0
pössneck	3	100.0
bottom	-1	67.0
chabert	0	63.1578947368
lockdown	0	50.0
inhuman	0	57.1428571429
ratatattat	3	100.0
noonknights	3	100.0
syphilis	-6	100.0
gamblingaddicted	-3	100.0
quesnoy	-3	100.0
completly	0	50.0
guttenbergs	-6	100.0
moviedom	-3	100.0
thingseven	3	100.0
convenientlyfaithful	3	100.0
petersons	3	100.0
subkindssubgenres	3	100.0
brigades	3	100.0
warrantsbr	3	100.0
starring	0	55.5035128806
karnaadthis	-3	100.0
caskets	0	66.6666666667
composites	-3	100.0
tuli	3	100.0
restlessness	0	50.0
spaceships	2	80.0
euthenized	3	100.0
teenageaudience	3	100.0
anomalous	-3	100.0
numers	-3	100.0
acog	-3	100.0
fleshcrawling	3	100.0
vampirebitingneck	-3	100.0
laughtilyouchoke	-3	100.0
ultracheesy	-3	100.0
assassinlover	-3	100.0
trampolines	-3	100.0
drebrin	3	100.0
resultsteamboat	3	100.0
=bang=	-3	100.0
honeymoon	1	73.3333333333
catwomanselina	3	100.0
marshals	-1	66.6666666667
1947it	-3	100.0
shoots	0	56.6176470588
backbr	3	100.0
despised	-1	60.0
appealingly	0	66.6666666667
rapee	0	66.6666666667
raped	-1	64.3410852713
rapey	3	100.0
greggs	-3	100.0
despises	0	53.8461538462
timewith	3	100.0
rapes	-1	68.4210526316
bullsst	3	100.0
1958s	3	100.0
prehalloween	-3	100.0
spurting	-1	66.6666666667
copsafeel	3	100.0
denoting	0	50.0
thesaurus	-3	100.0
goldtipped	3	100.0
budah	3	100.0
koyaanisquatsi	-3	100.0
universitys	3	100.0
racialism	0	50.0
welland	-3	100.0
congratulations	0	61.5384615385
humbled	6	100.0
rippling	-3	100.0
eyres	-6	100.0
rewords	3	100.0
pinpoints	3	100.0
1600s	-3	100.0
humbles	3	100.0
nicest	-1	72.2222222222
antaius	0	66.6666666667
runthrough	3	100.0
bazs	3	100.0
passenger	0	56.0975609756
disgrace	-2	87.5
barrymore	1	78.7878787879
gagslike	3	100.0
cheyennes	0	57.1428571429
petrification	-3	100.0
kwijybo	3	100.0
decapitation	-1	77.2727272727
sexuallyinexperienced	-3	100.0
beenbr	0	50.0
effusions	3	100.0
slurring	-3	100.0
heartsplitting	-3	100.0
muchused	-3	100.0
fantasyland	3	100.0
cambodia	3	94.4444444444
pasadena	-3	100.0
shotter	3	100.0
crowne	-3	100.0
ritts	6	100.0
wordlessly	0	50.0
thór	3	100.0
oklahoma	0	57.8947368421
hawken	-3	100.0
thoroughgoing	-3	100.0
palms	-1	66.6666666667
aroundlaugh	-3	100.0
gijs	3	100.0
palme	3	100.0
conservatively	-3	100.0
moresby	-3	100.0
larp	3	100.0
palma	0	50.0
smelling	-3	100.0
danske	3	100.0
aragorn	-3	100.0
hawkes	-3	100.0
explosions	0	56.0283687943
loren	-6	100.0
swiches	-3	100.0
shootout	0	52.7272727273
shepitkos	6	100.0
moviestvseries	-3	100.0
audiards	3	100.0
filmsbadly	3	100.0
12206	-3	100.0
archaeologist	-6	100.0
laughasecond	3	100.0
weasel100	-3	100.0
childs	0	54.5454545455
whately	3	100.0
chain	0	63.1578947368
whoever	-1	69.1860465116
khaddafis	-3	100.0
idealistic	2	82.5
egypts	1	75.0
maywether	-3	100.0
chair	-1	61.1842105263
shlomis	6	100.0
[1965]	0	50.0
macht	-3	100.0
ballew	-3	100.0
ballet	0	58.0
amplification	3	100.0
grapples	2	80.0
jorundur	3	100.0
pell	-3	100.0
precognition	-3	100.0
freelance	0	66.6666666667
mache	-3	100.0
teamup	-3	100.0
grappled	3	100.0
macha	3	100.0
shawin	3	100.0
connecting	0	50.0
macho	0	56.0606060606
oversight	2	83.3333333333
verbally	0	50.0
tenacious	1	73.4693877551
ratnama	3	100.0
paychecks	-2	87.5
flatbed	-3	100.0
jerk	-1	61.0294117647
jere	3	100.0
skullcracking	-3	100.0
prances	-1	75.0
olympus	3	100.0
ryansydney	3	100.0
embark	1	77.1428571429
gloomy	0	66.6666666667
pervier	-3	100.0
exact	0	54.4502617801
unattuned	-3	100.0
minute	-1	62.3475609756
calledmy	3	100.0
goldwhich	3	100.0
bankeylal	3	100.0
reining	0	50.0
whackedout	1	75.0
skewed	-1	64.2857142857
continuate	-3	100.0
skewer	-1	66.6666666667
brate	-3	100.0
xenophobe	3	100.0
wrestlemanias	0	50.0
hindered	-2	80.0
[mcgowan]	3	100.0
2cvs	3	100.0
ogles	3	100.0
heavyweight	2	85.7142857143
buus	-3	100.0
chopping	-1	65.3846153846
trisha	0	63.6363636364
bastardisation	3	100.0
jozef	-3	100.0
ogled	-3	100.0
filmrole	-3	100.0
adorns	0	50.0
deezentype	3	100.0
braxus	-3	100.0
bagging	-3	100.0
woddy	-3	100.0
arrowthroughtheeye	3	100.0
poetryquoting	3	100.0
burce	3	100.0
bovie	3	100.0
celebrated	0	64.1025641026
roarke	-3	100.0
300	-1	69.387755102
baggins	0	50.0
cheeseburgers	-3	100.0
roarks	-3	100.0
ground	0	55.1319648094
celebrates	2	86.6666666667
dysarts	-3	100.0
unintentionally	-2	84.0336134454
draftee	3	100.0
drafted	0	50.0
ufc	-2	80.0
oldies	1	75.0
eyepleasing	3	100.0
climbs	1	70.0
honour	1	77.4193548387
topicality	3	100.0
plucking	-3	100.0
okumoto	3	100.0
bowmans	3	100.0
uff	3	100.0
address	0	55.4054054054
menjou	-3	100.0
spoiler==================================	-3	100.0
dwindling	0	50.0
benson	-1	62.5
muchcelebrated	-3	100.0
straange	-3	100.0
impacted	1	75.0
kopps	-3	100.0
halfseriousness	-3	100.0
queue	0	52.9411764706
coxswain	3	100.0
galifianakis	3	100.0
sprouted	3	100.0
stencil	3	100.0
influx	0	60.0
youthobsessed	3	100.0
boyles	6	100.0
houseman	0	58.3333333333
is	3	100.0
boyleg	-3	100.0
murphyis	-3	100.0
inquisitively	3	100.0
edisonproduced	3	100.0
fakery	-3	100.0
darnell	-6	100.0
undergone	0	55.5555555556
fakestlooking	-3	100.0
incidentand	3	100.0
handbags	0	66.6666666667
perished	0	62.5
wane	0	66.6666666667
gibbons	-1	66.6666666667
mummys	-2	81.25
opposed	0	58.904109589
etude	3	100.0
allinall	0	50.0
lipperts	-3	100.0
unclearhanging	3	100.0
consoled	0	50.0
alastair	2	88.8888888889
fictionhorror	0	66.6666666667
derangere	3	100.0
approving	-1	66.6666666667
writingproduction	-3	100.0
consoles	0	60.0
wormriddled	3	100.0
tale	3	100.0
198990	-3	100.0
hihat	3	100.0
wans	0	66.6666666667
gregoire	3	100.0
rutherford	3	90.9090909091
americanised	0	50.0
lowpriced	3	100.0
rozemas	-3	100.0
gregorowicz	-3	100.0
following	0	60.1837672282
ditmas	3	100.0
munroe	-1	66.6666666667
intermittentand	3	100.0
sunrays	-3	100.0
lodestone	-3	100.0
stetson	3	100.0
gelled	0	50.0
selfhate	3	100.0
[1954]…but	-3	100.0
connollys	-3	100.0
munros	0	50.0
fossey	-2	80.0
numerobis	6	100.0
listens	0	68.75
astrological	0	50.0
poories	-3	100.0
gesellen	-3	100.0
thanking	0	60.0
mesmeric	0	66.6666666667
scenesoptically	3	100.0
betterthis	3	100.0
lucchetti	3	100.0
ravenal	3	100.0
casualness	3	100.0
oddsafter	-3	100.0
sour	-1	63.0434782609
convincingly	0	62.7450980392
fueled	1	73.6842105263
laxative	-1	66.6666666667
selfcertainty	-3	100.0
telecine	-3	100.0
stapes	3	100.0
sickerscarier	-3	100.0
harmon	2	80.0
100°f	3	100.0
surfing	0	67.2131147541
jonnie	3	100.0
kodachrome	-3	100.0
dumbsilly	-3	100.0
tchaikovsky	3	100.0
jejeune	-3	100.0
quadrant	-3	100.0
inhabiting	0	55.5555555556
nebbish	-1	75.0
gableish	3	100.0
skirmish	-2	80.0
larners	3	100.0
krail	-3	100.0
impactful	-3	100.0
tilney	-1	60.7142857143
flowersbushestreeswherever	-3	100.0
16year	-3	100.0
professors	0	56.0
structuring	-3	100.0
funniness	0	50.0
jig	-1	60.0
overlord	0	50.0
disconnect	-2	81.8181818182
illan	-3	100.0
slimeball	0	66.6666666667
jia	1	75.0
milked	-1	61.5384615385
greeks	0	50.0
mcclorys	3	100.0
jim	0	56.5533980583
playback	2	85.7142857143
hostnavigator	3	100.0
jis	-3	100.0
jip	1	78.5714285714
uncursed	3	100.0
spotlighting	3	100.0
steves	-1	63.6363636364
modestly	-1	71.4285714286
nsc	3	100.0
throatslashing	-3	100.0
miyasaki	3	100.0
overpowering	2	80.0
workmanlike	0	55.5555555556
henpecked	1	75.0
sorted	-6	100.0
framed	0	55.5555555556
apros	-3	100.0
dreamcatchers	-3	100.0
bedevil	3	100.0
hickory	-3	100.0
deads	6	100.0
didn	-3	100.0
hungarianamerican	-3	100.0
kronkvoiced	-3	100.0
seenseveral	-3	100.0
didt	-3	100.0
moviecartoon	3	100.0
silocrews	-3	100.0
astronautstyle	3	100.0
[1939]	3	100.0
instability	0	66.6666666667
personalizing	3	100.0
quarter	0	51.9230769231
greenwald	-3	100.0
quartet	0	50.0
allovertheplace	3	100.0
mongomen	3	100.0
honduras	-3	100.0
ananias	-3	100.0
bursting	0	54.5454545455
farce	0	59.3220338983
112003	-3	100.0
presages	0	66.6666666667
moritas	3	100.0
fallin	-3	100.0
entering	0	56.9230769231
honduran	-3	100.0
salads	0	50.0
disasters	-1	65.5172413793
increasinglybizarre	3	100.0
unsaleable	-3	100.0
iluz	3	100.0
macauley	1	75.0
neversayhesfinished	-3	100.0
comicallooking	-3	100.0
seriously	-1	62.891809909
neodocumentary	-3	100.0
quasioldfashioned	-3	100.0
subtile	3	100.0
disasterbr	3	100.0
nsw	-3	100.0
deadfilled	-3	100.0
spencethomas	3	100.0
cairnsjuni	3	100.0
ultraviolent	3	100.0
incentives	0	50.0
tieney	3	100.0
hioh	3	100.0
inwardly	0	50.0
ontario	0	66.6666666667
crazies	0	57.1428571429
crazier	0	63.6363636364
grandma	0	54.5454545455
jazzynjivin	3	100.0
tvversion	3	100.0
deedlenick	3	100.0
pillowcam	-3	100.0
elephant´s	3	100.0
workmanship	3	100.0
reisner	3	100.0
rownot	-3	100.0
changeofstudioheart	-3	100.0
hamel	3	100.0
modest	0	61.038961039
mckayla	3	100.0
quibble	2	86.2068965517
socking	-3	100.0
gutman	3	100.0
craggyand	3	100.0
tableaus	3	100.0
groomers	3	100.0
spoken	0	53.7878787879
cerebrally	-3	100.0
tableaux	0	50.0
medicated	-1	66.6666666667
spokes	-3	100.0
periodical	-3	100.0
toltecs	-3	100.0
tamara	-2	80.9523809524
affords	6	100.0
nubian	0	50.0
inthefield	3	100.0
decicision	3	100.0
xavierbr	3	100.0
f86	0	50.0
f80	-3	100.0
goodbad	0	50.0
lingering	0	52.7777777778
fitzmaurice	3	100.0
cherbourg	1	75.0
surges	0	50.0
prettyin	-3	100.0
snatch	0	52.0
retrogressive	-3	100.0
disasterpieces	3	100.0
lolbr	-1	75.0
absorbs	1	71.4285714286
nearearth	-3	100.0
moviesespecially	-3	100.0
yeeeehaa	-3	100.0
selander	0	50.0
crossroads	1	72.7272727273
rehab	0	52.6315789474
baynes	3	100.0
lillies	-3	100.0
wandering	-1	68.2352941176
proactive	-1	75.0
madonnabashing	3	100.0
martinjohn	-3	100.0
ishida	3	100.0
turned	0	58.3610188261
groomsmen	-3	100.0
jewels	0	58.6206896552
danger	0	52.3560209424
jewell	-3	100.0
mysticalsupernatural	-3	100.0
uninterrupted	1	75.0
greatafter	3	100.0
turner	0	51.8072289157
borough	0	60.0
360remake	3	100.0
zoe	-2	86.6666666667
fashionable	0	56.0
coliseum	-1	75.0
zoo	-1	66.6666666667
responsibleif	-3	100.0
zor	-2	83.3333333333
90someodd	3	100.0
dwuids	-3	100.0
martineau	6	100.0
kinskis	0	50.0
femalian	-3	100.0
mayes	0	66.6666666667
mayer	0	50.0
pimple	-1	75.0
eventempered	0	50.0
chitown	-3	100.0
danilow	3	100.0
opposite	0	51.8032786885
squalor	1	77.7777777778
spewing	-1	73.0769230769
santinos	3	100.0
widewas	-3	100.0
speaks	-3	100.0
reiners	-1	66.6666666667
bolshoi	-3	100.0
