id	sentiment	words
"105_2"	0	"There's tons of good-looking women in this flick. But alas, this movie is nudity-free. Grrrrrrrrrr Strike one.<br /><br />Ahem. One story in this film takes place in 1971. Then why the hell are the main characters driving a Kia Sportage? Hello? Continuity, anyone?<br /><br />As you might know, this movie was released in stereoscopic 3D. And it is the most hideous effect I have ever seen. I'm not sure if someone botched the job on this, but there WAS no 3D, just double-vision blurs. I didn't have the same problem with this company's other 3D movies, HUNTING SEASON and CAMP BLOOD. Sure, the 3D in those ones sucked too, but with them I could see a semblance of 3D effect.<br /><br />This thing is a big ball of nothing.<br /><br />And whoever that women was who played the daughter of the ear-eating dame, yum! I'd like to see more of her. In movies, as well. Looks like Janet Margolin at a young age. Purrrrrrrrrrrrrrrr<br /><br />"
"5796_3"	0	"I saw this feature as part of the Asian American Film Festival in New York and was horrified by the graphic, sado-masochistic, child pornography that I witnessed. The story line is hidden beneath way too many graphic sex scenes - and, not one is in the least bit erotic - sick is the more the feeling. The director seemed to be going for shock value rather the exploring the various levels of why these characters are like this. See it if you can stomach it - I still have flashbacks."
"9359_4"	0	"This film is probably pro-Muslimization. <br /><br />Why do I write that? The main character has a Muslim father and a Christian mother. He lives his first 20 years in a Christian village. In the end of the film he seemingly is a Muslim because of his head-wear, that he has kept his amulet, and his general clothing. He has a six year old child, who wears the same head-wear and therefore is probably a Muslim, although the mother is a Christian. The main character thus chooses to, it seems, to be a Muslim and his child becomes a Muslim. No one of the other male main characters, which are Christians, seems to breed a child. There are more Muslims in the world of this movie at the end of it, it therefore seems."
"1183_8"	1	"A man readjusts to life alone after 45 years of marriage. He also has to solve the problem of the family milch cow, Tulip, which refuses to allow itself to be milked. Until, that is, he visualizes his wife who was the one who used to milk Tulip.<br /><br />Tulip is based on a real story told in Griffith's family, of her grandparents' generation. The film is a nostalgic look back at a disappearing way of life, one where people still felt some sense of responsibility for each other, set in the lush green Victorian (the Australian state, not the era) countryside.<br /><br />Writer and director Griffiths evidently has further ambitions in both areas, and this multiple award-winning 15-minute short is a fine beginning to her reel."
"825_1"	0	"I can't believe they got the actors and actresses of that caliber to do this movie. That's all I've got to say - the movie speaks for itself!!"
"1252_4"	0	"After looking at monkeys (oops apes) for more than one hour, I was feeling like one too. I was an ape, spending money on this movie. Please people, hold you money in your pocket and go see some funny movie like Bridget Jones's Diary.."
"4678_2"	0	"This movie had some andrenaline kickers, but it's an old story that simply could never happen. Navy protocols could never break down that much that a crew much less an XO could ever go that far against the Captain. I'll take Dr. Strangelove any day if I wish to see this plot. Sidenote--the US Navy did not support this film."
"6131_1"	0	"Kurt Thomas in one of the series of gymnast olympic stars turned movie stars movies that mercifully only includes one other..Mitch Gaylord in American Anthem...at least that one had Janet Jones..this one has...um... a gymnast using his martial arts and his gymnastic skills to save a european country from dictatorship..sure it could happen.. on a scale of one to ten.. a 0"
"10072_1"	0	"Unfortunately I made a mistake and I paid 7 Euros at the movie theater to watch this shallow meaningless movie. My points;<br /><br />Film is based on 2 things;<br /><br />1) Ethnical point of View: As it happens on most of the American Films, the writer thinks itself as an expert after learning 2 or 3 things about the Asian culture. But unfortunately it is not enough. Knowing kunefe and 2 names of other foods doesn't make a person understand a culture. For example shaving is the sign of clean life in Asia but everyone was trying the girl to stop that. Lebanese people are Christian (Ok they got that) and their cultural forms and beliefs and approaches are completely different from other Arabic countries. The main difference between eastern and western culture is we don't make ethnocentrism. So we don't judge people after their first question about our life as the father figure did in all of the film. <br /><br />2) Sexual revolution of a girl: There is nothing much to say about this. Show me 10 girls which had these on their sexual awakening than I will say that I am wrong.<br /><br />I wrote this comment because the producers are promoting the film in the black humor genre. Please watch Dr.Strangelove and understand the meaning of black humor. A black humor has to reflect the truth and has to focus the audience to the funny parts of it. Where is the truth? Where is the meaning about the movie."
"4048_7"	1	"Rohmer strays from his usual portraits of french middle class to tell this costume drama about the difficulties of an aristocrat lady during the french revolution. What's more attractive about \"La Anglaise...\" (apart from the story itself) is the fabulous aesthetics that Rohmer has achieved. The images have been digitally decorated too make them look like baroque pictures. In some moments you can't really say whether your watching a movie or a series of pictures in Louvre Musseum. Every shot is like a piece of art.<br /><br />*My rate: 7.5/10<br /><br />----------------<br /><br />-------------- -<br /><br />------------<br /><br />-------------------"
"8942_8"	1	"A number of contributors have mentioned the age difference between Stewart and Novak. She was 25 and he was 50 when this movie was released. I think that the difference didn't matter for a suspense drama like Vertigo, but it does matter for a romantic comedy. We can easily understand, that is, why his character would be attracted to hers, but it's less clear why hers would be attracted to his.<br /><br />Still, the movie works as a light romantic fantasy. The scene where she stares at him across the cat's head, with her dark painted-on eyebrows flaring and the sounds of her humming and the cat purring, is true magic. It's a little jarring, therefore, when the scene shifts to the top of the Flatiron Building, and we see the age difference very sharply. As he embraces her, she reaches up to run her fingers through his hair, but stops that motion and just brushes her fingertips lightly against his toupee."
"11212_8"	1	"This picture came out in 1975 and it was the second in the three part series of the life of Sheriff Buford Pusser. Bo Svenson takes over the role of Sheriff Buford Pusser, and Luke Askew plays the role of Mobster Pinky Dobson. The last that we saw Sheriff Pusser he was laying in a hospital bed after him and his wife who was killed in ambushed Sunday morning drive. After Pusser recovers he goes after the men that killed his wife. Is Pusser able to complete the revenge that he's after or does the mob try to take him out before he successes. The only thing that bother me about this picture that this was an actual true story. How could you leave in a town with this kind of crime and yet don't do anything about it. Since there was real no name actress in this picture I can't give it 10 weasel stars but I can give 8"
"2453_8"	1	"The film notes describe the main role family, as Turkish immigrants which living in Denmark. However, it is so clear to understand that the fact is, the behavior and the culture point the family is absolute Kurdish. Similar social pressures and even cultural murders keep going on Turkey today on Kurdish ethnicity societies. What a worry...<br /><br />It is widely accepted issue in Turkey today, the Kurdish immigrants living in European Countries today, which have moved from Turkey at 70's are culturally connected to the feudal moral laws system, by growing daughters and women under pressure, are giving harm to the Turkish International Image. Also, as same as widely accepted another issue is the Turkish or Kurdish immigrants on these countries are the reason negative aim about the Community Europe Nominee."
"3311_10"	1	"A common plotline in films consists of the main characters leaving the hustle and bustle of the city behind, and finding themselves in the tranquility of nature. In Power of Kangwon Province, we are shown two stories of individuals doing just that, trying to find themselves through a trip to the popular Korean parks in the mountains of Kangwon Province. However, rather than epiphanal moments, we have two characters whose trip into nature was just another form of escape.<br /><br />The pace of this movie is slow, contemplative. We learn in the end what really brought each to Kangwon Province and we learn how they're connected. For those who want Hollywood glam and for a movie to give them a definitive answer, this movie will not satisfy. But for those who want a movie that leaves them thinking, wondering, affecting them years after, this movie will more than satiate that longing."
"8791_10"	1	"This is one of the funniest movies I have ever seen. If you know the Real World and the people from those shows, this movie will be top notch, if you have never seen the real world you will still think it is an extremely funny movie but you won't get some of the inside jokes about the actors and the tv show."
"2821_1"	0	"I only saw this movie once, and that was enough for me. The movie has very little if any plot and seems to be nothing but continuous scenes of psycho-sadistic violence and very little of anything else. I wanted to see this movie because it starred Zoe Trilling of the second \"Night of The Demons;\" and I wanted to see her playing someone normal. Unfortunately, the Tobe Hooper script barely begins and goes nowhere as Robert Englund dominates the film and chews up the scenery and plot. Zoe, I know where you are now; hiding from this film !"
"4497_4"	0	"- I had planned to write something explaining what I didn't like about this movie, but this is going to be more difficult than I thought. Honestly, I can't remember much about it. I watched it just three days ago and it's made almost no impression on me. That's usually the sign of a real stinker. About the only thing I remember was being incredibly bored by most of it. The novelty of having a Humphrey Bogart look-a-like as the detective wore off real quick. It would be different if he could act, but he's a one-note entertainer. The kill scenes were amateurishly handled and there was no suspense leading up to them. If you can't spot the killer five minutes into the movie, you need to see more Euro horror. The casting is a dead giveaway to the killer's identity."
"5459_2"	0	"This was a very brief episode that appeared in one of the \"Night Gallery\" show back in 1971. The episode starred Sue Lyon (of Lolita movie fame) and Joseph Campanella who play a baby sitter and a vampire, respectively. The vampire hires a baby sitter to watch his child (which appears to be some kind of werewolf or monster) while he goes out at night for blood. The baby sitter is totally oblivious to the vampire's appearance when she first sees him and only starts to put two and two together when she notices that he has no reflection in the mirror, has an odd collection of books in the library on the occult, and hears strange noises while the vampire goes to talk to the child. She realizes that the man who hired her may not be what she thought he was originally. She bolts out the door, the vampire comes out looking puzzled and the episode is over. I don't know what purpose it was to make such an abbreviated episode that lasted just 5 minutes. They should just have expanded the earlier episode by those same 5 minutes and skipped this one. A total wasted effort."
"9042_10"	1	"I think I read this someplace: Joe Johnston (director of the film and also one of the guys who founded Industrial Light and Magic for work on the first Star Wars film) and one of his producers or something were racking their brains for a title for the movie, \"Rocket Boys\" (I guess) was lacking something.<br /><br />One day they were messing with a PC program that forms words from other words (ie: you type in a word or series of words and it mixes the letters up and forms other words) I think the technical term is an \"anagram\"<br /><br />Anyway, they typed in \"Rocket Boys\" and sure enough what comes back is \"October Sky\". They were shocked to say the least. The title summed up everything in the movie since the movie revolves around Sputnik. At first Homer Jr did not like the idea, but he warmed up to it after the \"movie poster paperback novel\" came out and took off."
"6889_10"	1	"Anyone who doesn't like this film is one who is afraid to explore his or her own demons. This film does make the viewer a little uncomfortable at times, but that is its intention. It asks you to look at your own life and confront the obstacles head on like Lou eventually does. It asks you to overcome the fear of perception and become who you are meant to be. Bret Carr holds up a mirror unlike any filmmaker has. The intention and the message is clear and profound. People's apprehension about this film stems only from their own insecurities. An open-minded viewer takes this inspirational message and runs with it. Sometimes a life- changing realization DOES come in a flash -- a light bulb going on. This story is real and changes the lives if its viewers in a real way."
"1573_9"	1	"Here is the explanation screenwriter Pamela Katz gave me for why MvT introduced JG as a specific character in the film:<br /><br />\"...the historical record is very clear: Joseph Goebbels was directly responsible for the release of the Rosenstrasse prisoners, so we needed a way to get Goebbels himself into our film... For a woman like Lena, a woman from an aristocratic family with connections, it wasn't unthinkable that she would make an attempt to go to the top. The idea of getting to Goebbels wasn't impossible for her, so that became our hook.\"<br /><br />Those of you who insist on seeing an actual sex act here can read my new thread below & then fire away.<br /><br />Jan Lisa Huttner FILMS FOR TWO"
"4_4"	0	"This fanciful horror flick has Vincent Price playing a mad magician that realizes his vocational talents have been sold to another. He devise ways of avenging all those that have wronged him. His master scheme seems to back fire on him.<br /><br />Price is a little below par compared to his masterpieces, but is still the only reason to watch this thriller. Supporting cast includes Patrick O'Neal, Mary Murphy, Eva Gabor and Jay Novello.<br /><br />"
"4646_7"	1	"I didn't know what to make of this film. I guess that is what it was all about really. I have never seen a film like it and I doubt that I really ever will again. Glover puts together something that is unique to him. I think to appreciate it you have to read some of his poetry, maybe see one of his slide shows. I really like this guy, he is just so bizarre I can't help it. Note: I saw this film before it was through its final editing, so maybe what I have seen and what others have seen are different. I will know, I guess, if I choose to view the film again. I think I will have to be properly drug influenced..."
"6406_9"	1	"Although I gave a rating of \"9\", my expectations were higher than what the film delivered. I would have been happier had there been more deep diving since I am a diver myself, but it was supposed to portray the life of Carl Brashear and that's what it was about. This film made me angry in the beginning, but happy in the end."
"1182_8"	1	"I hope she can keep acting and directing. She's surely up to the task and could easily develop that visionary streak into a long career of unconventional and rare works of art. Her work has a rare kind of generosity and her timing is spot-on! Oy I'm kvell"
"6368_7"	1	"While there aren't any talking animals, big lavish song production numbers, or villians with half white / half black hair ... it does have 1 thing ... realistic people acting normally in a strange circumstance, and Walt & Roy did in their eras with the studio. If you thought think \"The Castaways\" or \"The Island At The Top Of The World\" weren't identical, or you hold them to a higher authority than Atlantis, then your idealism is just as whacked as keeping your kids up till midnight to watch a friggin' cartoon."
"1693_10"	1	"Anyone who does not find this movie funny, does not understand simple comedy. This movie is not a complex comedy, it is full of one liners, and sight gags, and will make anyone who wants to laugh, laugh... The alien who is doing a Nicholson impression will crack you up!"
"4835_1"	0	"Kathryn Bigelow and Mark Boal are already preparing a sequel about a young US corporal in Afghanistan. He also happens to be a highly-qualified surgeon and is roaming freely around Kabul, operating on wounded NATO soldiers. On a particularly difficult mission, he casually picks up a sniper rifle and shoots Osama Bin Laden from a distance of about 3000 yards. He is then finally promoted to sergeant, but is unable to decide between a sniper and surgeon career, so he quits from the Army altogether. One year later, frustrated with civilian life, he joins the Navy and the last scene shows him proudly wearing a white uniform."
"2675_9"	1	"Frustrating to watch because of one man's stubbornness to leave his native country for the dream land in Switzerland and what he does to achieve that creates heartache for all those involved. Along the journey he encounters scumbags who take advantage of other human suffering and desperation."
"4420_8"	1	"At two and a quarter hours this is a sometimes slow moving thoughtful film interrupted by vast sword battles. The battle between darkness and light is signified by the constant motif of the blazing sun and is superbly demonstrated by a three way fight between 'demons', bandits and soldiers in a forest during an eclipse.<br /><br />Be prepared: following a stunning sword fight under lightning filled skies the end of this picture will have you scratching your head in puzzlement."
"6273_1"	0	"This was a cute movie until the ending. The ending was merely one more despicable effort to emasculate men and empower women at their expense. The girl refused to listen to reason and logic and used her passive/aggressive nature to control and impose her will on the guy who ultimately yielded his power and control over the relationship to her. It is not by chance that she was sitting behind the driver's wheel in the car as they drove away at the end after he had to beg her and plead with her to take him back. This movie is a victory for all women who think they should be in charge of all men and in control of their relationships with them. It was a despicable movie for that reason."
"12333_1"	0	"Un-bleeping-believable! Meg Ryan doesn't even look her usual pert lovable self in this, which normally makes me forgive her shallow ticky acting schtick. Hard to believe she was the producer on this dog. Plus Kevin Kline: what kind of suicide trip has his career been on? Whoosh... Banzai!!! Finally this was directed by the guy who did Big Chill? Must be a replay of Jonestown - hollywood style. Wooofff!"
"12231_3"	0	"I saw this movie, and at times, I was unnerved believing this movie 'saw me.' Munchie sullies the 'farce' for years to come. Re-watch Star Wars, Don't-watch Munchie.<br /><br />As a responsible parent (I'm speaking to those who are parents now), I (you) would not let my (your) child ever partake of this video festival of the pseudo-occult. To insinuate Munchie is satanic, to a co-viewer, is likely to illicit a chilled 'duh.' He is fiendish, alien, rodential, and wholly malevolent - like the Bogey man made flesh, invisible to adults, tempting children with lifestyles they could never afford (without the income made possible by years of self denial and prudent stewardship). He is a peddler of easy answers, and false ideals. He is everything the morally conscious viewer is not. He is the devil's own Ron Popeil.<br /><br />I pray (I mean this literally and figuratively, with an emphasis on the former) that this movie has not made the format jump to DVD. It is my hope that this type of 'yellow film making' died an un-mourned death in the cold nights of 1994.<br /><br />Munchie also loves pizza. I forgot to mention that. It comes up a lot."
"11386_4"	0	"One of those Thank-God-I-don't-live-there documentaries. This one tells of two warring factions in Colombia, guerrillas and paramilitaries, and the surrounding peoples of Medellin.<br /><br />Guns, drugs and death run rampant. The guys, no older than 22, not in the middle of fighting a war are in jail. The girls  not women, girls  always react the same way when one of them is killed, with tears and screaming. You scratch your head; what did they expect, really? I don't know what's more disturbing: the nightly shoot-outs and civil unrest, or that everybody just seems to passively accept things as are. Or, seeing that boy drinking what is obviously not his first beer, being all of what, 10? If you were to take these any of these young men out of their situation and put them some place where they had the opportunity to do more, be more, how many would choose not to stay?<br /><br />Based on this documentary, all, I'm afraid."
"108_10"	1	"`Europa' (or, as it is also known, `Zentropa') is one of the most visually stunning films I have ever seen. The blend of grayscale and colour photography is near seamless... a true feast for the eyes. The picture was a contender for a 1991's Golden Palm in Canners. The award went to Barton Fink (by Coen brothers); a film stylistically very similar to Zentropa. Here's an exercise in class: rent both films and be a judge for yourself."
"7276_8"	1	"When I rented this movie I thought I was going to see a horror-movie. However, there is little horror in this typical seventies mystery-drama directed by strange James T. Flocker. Nice-looking Matt Boston carries the picture with his fine performance and the typical strange atmosphere of Flocker's movies is all-present."
"9484_10"	1	"this movie I saw some 10 years ago (maybe more), I took it in a rental and never found it to buy even in French sites. The end is very surprising and intelligent. I would like very much to watch it again because I think it's as surpring as the Sixth Sense althogh a completely different kind of movie."
"1680_4"	0	"Even with a cast that boasts such generally reliable names as Val Kilmer and Lisa Kudrow, Wonderland fails to yield any sense of depth to this film. It barely brushes the surface of the incidents that happened on that July night in 1981. Kilmer just goes through the motions as John Holmes and Kudrow and Kate Bosworth are both hopefully miscast in the other two lead roles; as Holmes's wife and underage girlfriend, respectively. The rest of the cast has such small roles that it's impossible to get any dimensions from them. The film also stars Carrie Fisher, Ted Levine, Franky G, MC Gainey, Dylan McDermott and a cameo from Paris Hilton."
"1780_1"	0	"this movie was so gay like its a mom and son cat that have sex, they also get scared of little kitty cats. they get set on fire by them. the mom cat alien thing kills a guy by stabbing him in the back with an ear of corn? they are bullet proof. invisible. and what not. the star of the movie, Clovis, is the cops cat, Clovis leads the cops to find the mom alien, and after the mom kills the cops, Clovis kills the mom by eating her head then she catches on fire. this movie sucks. it was way way more funny than it was scary, it wasn't even scaryt at all. the girl hits the alien on the head with a camera, it knoks him out. she then goes and hugs her. the then grabs her and begins to rape her. once again, Clovis comes to the rescue"
"5653_10"	1	"This was an absolutely spellbinding series and was sorry that I was only able to catch a few shows way back when it aired late night in the UK. The style of it was so different from others of its kind and the whole thing had an unnerving air of stylish dread to it. All you have to do is read all the positive comments (not a single negative that I can see) to realise what a really innovative series this was and how it caught at the imagination. I now understand from reading the comments it got CANCELLED that's just so unbelievable. What a bunch of 'headless overpaid suited turkeys' there must have been (or just maybe still are) running around to do that."
"1781_4"	0	"Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery."
"106_10"	1	"The first von Trier movie i've ever seen was breaking the waves. Sure a nice movie but it definitely stands in the shadow of europa. Europa tells a story of a young German-American who wants to experience Germany just after the second world war. He takes a job that his uncle has arranged for him as a purser on a luxues train. Because of his job, he travels all through an almost totally destroyed germany, meeting with the killing of traitors, and hunt for former nazi party members. The society is suffering from corruption. His uncle has narrowed his conciousness by focussing on the job he has also as a purser on the train. By coincidence the main character get involved in bombing and terrorism by a group called 'werewolves' they put pressure on him to help them placing bombs on trains. The atmosphere is astounding. The viewer is taken from scene to scene by a man attempting to put the viewer under hypnosis and then counting to wake you up in a new scene. Just when you think you've seen a lot!!!!!!! europe!!"
"10217_9"	1	"The fluttering of butterfly wings in the Atlantic can unleash a hurricane in the Pacific. According to this theory (somehow related to the Chaos Theory, I'm not sure exactly how), every action, no matter how small or insignificant, will start a chain reaction that can lead to big events. This small jewel of a film shows us a series of seemingly-unrelated characters, most of them in Paris, whose actions will affect each others' lives. (The six-degrees-of-separation theory can be applied as well.) Each story is a facet of the jewel that is this film. The acting is finely-tuned and nuanced (Audrey Tautou is luminous), the stories mesh plausibly, the humor is just right, and the viewer leaves the theatre nodding in agreement."
"7789_10"	1	"Allison Dean's performance is what stands out in my mind watching this film. She balances out the melancholy tone of the film with an iridescent energy. I would like to see more of her."
"9668_9"	1	"This is a small film , few characters ,theatrical.And yet it says something about Ireland that you won't find elsewhere.This film IS IRELAND. In all it's grubiness, it's sadness,it's self-delusion.The Boys , Master Doyle , SP O'Donell, The Cannon , Senator Doogan's daughter , Gar and above all Madge.I know them.I'm in the pub with them or kneeling to pray with them. They are our sad history and they are our present."
"5244_7"	1	"\"The Ladies Man\" suffers a common problem among movies based on \"Saturday Night Live\" skits. And that is, a sketch that usually succeeds in five minutes will not do so well in ninety minutes. Although this movie does have its laughs, like Tim Meadows as Leon Phelps, a sex-maniac straight out of the '70s, and Will Ferrell as a wrestling-obsessed husband cuckolded by Leon. So this movie is funny enough, but it's no \"Wayne's World\"!"
"2017_10"	1	"After reading only two of the comments herein, as a lifelong Bronte fan, beginning with Olivier's Heathcliff and enduring with the many versions of Charlotte's \"Rochester,\" it is more than eye-opening to see that it is the UNsung Bronte sister who gave the lie to the male-chauvinist period the trio inhabited. Of course, the \"miracle\" in all three versions of 19th-Century British domesticity is that the \"girls\" were all \"spinsters\" and their only realistic brushes with \"men\" were their vicar father and their wastrel? brother. That said, finally, it is ANNE Bronte who has, in her single assay?, proved the \"feminist\" point, way way ahead of contemporary types, and including the \"voting franchise\" ranks. However, history evinces more than a few who preceded, including the Greek heterai and Sappho and the likes of an ancient emperor's Yang Kuei-fei. And how about \"Eve\" and her apple?"
"9235_4"	0	"This woman never stops talking throughout the movie. She memorized every line, and delivered all without a bit of natural emotion. She also has a most uncharming lisp, and the pitch of her voice sounds like nails on a blackboard. This film has WAY too much Betsy Drake, and not enough Cary Grant, who carried what little was left of the film entirely on his own."
